long_strike,short_strike,current_price,long_ask,short_black_scholes_price,long_black_scholes_price,short_z_score,long_z_score,short_ask,long_bid,short_bid,net_premium,max_profit,max_loss,breakeven,reward_risk_ratio,probability_of_profit,spread_width,bid_ask_spread,long_open_interest,short_open_interest,iv_skew,long_implied_volatility,short_implied_volatility,long_delta,short_delta,long_gamma,short_gamma,long_theta,short_theta,net_theta,long_vega,short_vega,long_rho,short_rho,expiration,Price Proximity,Proximity Penalty,score
25.0,35.0,145.47999572753906,0.02,0.04094128365167357,0.010601906002258021,0.221,-0.057,0.05,0.01,0.03,0.01,-0.2792607802874743,9.99,34.99,-0.24390243902439027,0.33333333333333376,0.0,-0.28849902534113064,2824,125,-2.0037211073323107,1.009731,0.930432,-6.78228108866e-05,-7.52475771028e-05,4.581665260888307e-09,6.426907977778479e-07,-4.148196619857798e-07,-8.46554681543402e-05,0.0,2.01963276905197e-05,5.1263128480805124e-05,0.08164546999077872,0.11429990586852512,2025-10-17,0.7594170949417028,0.99999999987245,7.142857142857142
30.0,40.0,145.47999572753906,0.03,0.06061756766125248,0.02077416563434016,-0.01,-0.037,0.06,0.02,0.04,0.01,-0.2792607802874743,9.99,39.99,-0.24390243902439027,0.33333333333333376,0.0,-0.28849902534113064,806,158,-2.0224131813736963,0.962319,0.88248,-6.86047746159e-05,-0.0001095449035979,7.755620658925907e-08,3.314492408648988e-06,-8.531256238175506e-06,-0.0005156330185090381,0.0,2.2840817638047035e-05,0.00018953013733150043,0.09797405844090058,0.13061148268435246,2025-10-17,0.7250481085048033,0.9999999996423418,4.761904761904762
35.0,45.0,145.47999572753906,0.05,0.07096738010118725,0.030692654951031184,0.127,-0.023,0.08,0.03,0.06,0.01,-0.2792607802874743,9.99,44.99,-0.24390243902439027,0.33333333333333376,0.0,-0.28070175438596495,125,734,-2.160838374135709,0.903791,0.819953,-7.52475771028e-05,-0.0002391597713234,6.426907977778479e-07,1.2543416310949947e-05,-8.46554681543402e-05,-0.002300770247649749,0.0,5.1263128480805124e-05,0.0005549216576772438,0.11429990586852512,0.14687402012608522,2025-10-17,0.6906791220679037,0.9999999989971037,2.380952380952381
40.0,50.0,145.47999572753906,0.06,0.09991598428038373,0.04081619991586133,0.001,-0.02,0.1,0.04,0.08,0.02,-0.271047227926078,9.98,49.98,-0.24390243902439027,0.33333333333333376,0.0,-0.27290448343079926,158,615,-1.5021158389366291,0.845972,0.781164,-0.0001095449035979,-0.0005980610076111,3.314492408648988e-06,3.604755897108818e-05,-0.0005156330185090381,-0.006461697521189844,1.0,0.00018953013733150043,0.001565843480326498,0.13061148268435246,0.16301718603112936,2025-10-17,0.6563101356310042,0.999999997187815,19.047619047619047
45.0,55.0,145.47999572753906,0.08,0.13005275937688843,0.060587882625279976,-0.0,-0.01,0.13,0.06,0.11,0.03,-0.2628336755646817,9.97,54.97,-0.24390243902439027,0.33333333333333376,0.0,-0.26510721247563357,734,1953,-1.5279732080272097,0.805516,0.739961,-0.0002391597713234,-0.0014444129415514,1.2543416310949947e-05,8.691370380769643e-05,-0.002300770247649749,-0.0076020523671222985,1.0,0.0005549216576772438,0.0039835574708580864,0.14687402012608522,0.17890356125502527,2025-10-17,0.6219411491941045,0.9999999921144548,16.666666666666664
50.0,55.0,145.47999572753906,0.1,0.13005275933544513,0.08056835731573986,-0.0,-0.007,0.13,0.08,0.11,0.01,-0.2792607802874743,4.99,54.99,-0.24390243902439027,0.33333333333333376,-1.0,-0.28070175438596495,615,1953,0.0005192242789268418,0.761359,0.739961,-0.0005980610076111,-0.0014444129415514,3.604755897108818e-05,8.691370380769643e-05,-0.006461697521189844,-0.0076020523671222985,0.0,0.001565843480326498,0.0039835574708580864,0.16301718603112936,0.17890356125502527,2025-10-17,0.6219411491941045,0.9999999921144548,26.190476190476193
50.0,60.0,145.47999572753906,0.1,0.15956920764871962,0.08056835728046863,0.065,-0.007,0.17,0.08,0.15,0.05,-0.2464065708418891,9.95,59.95,-0.1951219512195122,0.33333333333333376,0.0,-0.24951267056530216,615,1795,-1.4780238323944062,0.761359,0.697247,-0.0005980610076111,-0.003125563295242,3.604755897108818e-05,0.00017989840962293863,-0.006461697521189844,-0.009172205284601899,0.0,0.001565843480326498,0.00719480091449275,0.16301718603112936,0.1943444476347422,2025-10-17,0.5875721627572049,0.999999977888431,9.523809523809524
55.0,60.0,145.47999572753906,0.13,0.15956920759722792,0.10974682198987229,0.065,0.002,0.17,0.11,0.15,0.02,-0.271047227926078,4.98,59.98,-0.24390243902439027,0.33333333333333376,-1.0,-0.27290448343079926,1953,1795,-0.1929437420493812,0.724234,0.697247,-0.0014444129415514,-0.003125563295242,8.691370380769643e-05,0.00017989840962293863,-0.0076020523671222985,-0.009172205284601899,0.0,0.0039835574708580864,0.00719480091449275,0.17890356125502527,0.1943444476347422,2025-10-17,0.5875721627572049,0.999999977888431,21.428571428571427
55.0,65.0,145.47999572753906,0.13,0.218427288620193,0.10974682195373708,0.007,0.002,0.22,0.11,0.2,0.07,-0.22997946611909648,9.93,64.93,-0.1951219512195122,0.2777777777777781,0.0,-0.2339181286549708,1953,5659,-1.1941812265808252,0.724234,0.668322,-0.0014444129415514,-0.0060710127631115,8.691370380769643e-05,0.0003300065905256137,-0.0076020523671222985,-0.011322623680706217,0.0,0.0039835574708580864,0.014147171721164692,0.17890356125502527,0.20910117889496935,2025-10-17,0.5532031763203054,0.9999999379977579,11.904761904761903
60.0,65.0,145.47999572753906,0.17,0.21842728855839422,0.14968957344084055,0.007,0.002,0.22,0.15,0.2,0.03,-0.2628336755646817,4.97,64.97,-0.1951219512195122,0.2777777777777781,-1.0,-0.26510721247563357,1795,5659,-0.0543108595757953,0.691304,0.668322,-0.003125563295242,-0.0060710127631115,0.00017989840962293863,0.0003300065905256137,-0.009172205284601899,-0.011322623680706217,0.0,0.00719480091449275,0.014147171721164692,0.1943444476347422,0.20910117889496935,2025-10-17,0.5532031763203054,0.9999999379977579,23.809523809523807
