long_strike,short_strike,current_price,long_ask,short_black_scholes_price,long_black_scholes_price,short_z_score,long_z_score,short_ask,long_bid,short_bid,net_premium,max_profit,max_loss,breakeven,reward_risk_ratio,probability_of_profit,spread_width,bid_ask_spread,long_open_interest,short_open_interest,iv_skew,long_implied_volatility,short_implied_volatility,long_delta,short_delta,long_gamma,short_gamma,long_theta,short_theta,net_theta,long_vega,short_vega,long_rho,short_rho,expiration
25.0,35.0,145.47999572753906,0.02,0.04094128365167357,0.010601906002258021,0.221,-0.057,0.05,0.01,0.03,0.01,0.01,9.99,34.99,0.0,1.0,10.0,0.04,2824,125,-0.0792989999999999,1.009731,0.930432,-6.78228108866e-05,-7.52475771028e-05,4.581665260888307e-09,6.426907977778479e-07,-4.148196619857798e-07,-8.46554681543402e-05,0.0,2.01963276905197e-05,5.1263128480805124e-05,0.08164546999077872,0.11429990586852512,2025-10-17
30.0,40.0,145.47999572753906,0.03,0.06061756766125248,0.02077416563434016,-0.01,-0.037,0.06,0.02,0.04,0.01,0.01,9.99,39.99,0.0,1.0,10.0,0.039999999999999994,806,158,-0.079839,0.962319,0.88248,-6.86047746159e-05,-0.0001095449035979,7.755620658925907e-08,3.314492408648988e-06,-8.531256238175506e-06,-0.0005156330185090381,0.0,2.2840817638047035e-05,0.00018953013733150043,0.09797405844090058,0.13061148268435246,2025-10-17
35.0,45.0,145.47999572753906,0.05,0.07096738010118725,0.030692654951031184,0.127,-0.023,0.08,0.03,0.06,0.01,0.01,9.99,44.99,0.0,1.0,10.0,0.05,125,734,-0.08383799999999997,0.903791,0.819953,-7.52475771028e-05,-0.0002391597713234,6.426907977778479e-07,1.2543416310949947e-05,-8.46554681543402e-05,-0.002300770247649749,0.0,5.1263128480805124e-05,0.0005549216576772438,0.11429990586852512,0.14687402012608522,2025-10-17
40.0,50.0,145.47999572753906,0.06,0.09991598428038373,0.04081619991586133,0.001,-0.02,0.1,0.04,0.08,0.02,0.02,9.98,49.98,0.0,1.0,10.0,0.060000000000000005,158,615,-0.06480799999999998,0.845972,0.781164,-0.0001095449035979,-0.0005980610076111,3.314492408648988e-06,3.604755897108818e-05,-0.0005156330185090381,-0.006461697521189844,0.01,0.00018953013733150043,0.001565843480326498,0.13061148268435246,0.16301718603112936,2025-10-17
45.0,55.0,145.47999572753906,0.08,0.13005275937688843,0.060587882625279976,-0.0,-0.01,0.13,0.06,0.11,0.03,0.03,9.97,54.97,0.0,1.0,10.0,0.07,734,1953,-0.06555500000000003,0.805516,0.739961,-0.0002391597713234,-0.0014444129415514,1.2543416310949947e-05,8.691370380769643e-05,-0.002300770247649749,-0.0076020523671222985,0.01,0.0005549216576772438,0.0039835574708580864,0.14687402012608522,0.17890356125502527,2025-10-17
50.0,55.0,145.47999572753906,0.1,0.13005275933544513,0.08056835731573986,-0.0,-0.007,0.13,0.08,0.11,0.01,0.01,4.99,54.99,0.0,1.0,5.0,0.05,615,1953,-0.021398000000000028,0.761359,0.739961,-0.0005980610076111,-0.0014444129415514,3.604755897108818e-05,8.691370380769643e-05,-0.006461697521189844,-0.0076020523671222985,0.0,0.001565843480326498,0.0039835574708580864,0.16301718603112936,0.17890356125502527,2025-10-17
50.0,60.0,145.47999572753906,0.1,0.15956920764871962,0.08056835728046863,0.065,-0.007,0.17,0.08,0.15,0.05,0.05,9.95,59.95,0.01,1.0,10.0,0.09000000000000001,615,1795,-0.06411200000000006,0.761359,0.697247,-0.0005980610076111,-0.003125563295242,3.604755897108818e-05,0.00017989840962293863,-0.006461697521189844,-0.009172205284601899,0.0,0.001565843480326498,0.00719480091449275,0.16301718603112936,0.1943444476347422,2025-10-17
55.0,60.0,145.47999572753906,0.13,0.15956920759722792,0.10974682198987229,0.065,0.002,0.17,0.11,0.15,0.02,0.02,4.98,59.98,0.0,1.0,5.0,0.06000000000000001,1953,1795,-0.026987000000000094,0.724234,0.697247,-0.0014444129415514,-0.003125563295242,8.691370380769643e-05,0.00017989840962293863,-0.0076020523671222985,-0.009172205284601899,0.0,0.0039835574708580864,0.00719480091449275,0.17890356125502527,0.1943444476347422,2025-10-17
55.0,65.0,145.47999572753906,0.13,0.218427288620193,0.10974682195373708,0.007,0.002,0.22,0.11,0.2,0.07,0.07,9.93,64.93,0.01,0.99,10.0,0.11,1953,5659,-0.05591200000000007,0.724234,0.668322,-0.0014444129415514,-0.0060710127631115,8.691370380769643e-05,0.0003300065905256137,-0.0076020523671222985,-0.011322623680706217,0.0,0.0039835574708580864,0.014147171721164692,0.17890356125502527,0.20910117889496935,2025-10-17
60.0,65.0,145.47999572753906,0.17,0.21842728855839422,0.14968957344084055,0.007,0.002,0.22,0.15,0.2,0.03,0.03,4.97,64.97,0.01,0.99,5.0,0.07,1795,5659,-0.022982000000000058,0.691304,0.668322,-0.003125563295242,-0.0060710127631115,0.00017989840962293863,0.0003300065905256137,-0.009172205284601899,-0.011322623680706217,0.0,0.00719480091449275,0.014147171721164692,0.1943444476347422,0.20910117889496935,2025-10-17
