long_strike,short_strike,current_price,long_ask,short_black_scholes_price,long_black_scholes_price,short_z_score,long_z_score,short_ask,long_bid,short_bid,net_premium,max_profit,max_loss,breakeven,reward_risk_ratio,probability_of_profit,spread_width,bid_ask_spread,long_open_interest,short_open_interest,iv_skew,long_implied_volatility,short_implied_volatility,long_delta,short_delta,long_gamma,short_gamma,long_theta,short_theta,net_theta,long_vega,short_vega,long_rho,short_rho,expiration
90.0,100.0,145.47999572753906,0.02,0.03512347955717543,0.008941191736343224,0.139,0.118,0.04,0.01,0.03,0.01,0.01,9.99,99.99,0.0,1.0,10.0,0.03,4364,6590,-0.09035700000000002,1.050356,0.959999,-5.323638348e-07,-7.86851944451e-05,1.622651370760558e-07,1.9673951501676918e-05,-1.3468238979943393e-06,-0.0002511803929681587,0.0,2.0577898057058168e-05,7.617621517066656e-05,0.02222148590543356,0.024687956245443024,2025-06-27
95.0,105.0,145.47999572753906,0.03,0.04327399717205804,0.01768965977932152,0.155,-0.435,0.05,0.01,0.04,0.01,0.01,9.99,104.99,0.0,1.0,10.0,0.04,8632,1582,-0.13555799999999996,1.003086,0.867528,-7.9666557934e-06,-0.0005267306777447,2.2091689041349313e-06,0.00011788016610787203,-2.256464534466192e-05,-0.0019028971297520606,0.0,2.6779573891753166e-05,0.00037889311768547144,0.02345577119645895,0.025907416697879028,2025-06-27
100.0,110.0,145.47999572753906,0.04,0.05160424424024579,0.026113920470964613,0.163,0.149,0.06,0.03,0.05,0.01,0.01,9.99,109.99,0.0,1.0,10.0,0.03,6590,2577,-0.156119,0.928932,0.772813,-7.86851944451e-05,-0.0025897049320714,1.9673951501676918e-05,0.0005130730529423887,-0.0002511803929681587,-0.010663110091639196,0.01,7.617621517066656e-05,0.0017233346610167786,0.024687956245443024,0.02707148788561141,2025-06-27
101.0,110.0,145.47999572753906,0.04,0.0516042425985721,0.026075014928667928,0.163,-0.233,0.06,0.02,0.05,0.01,0.01,8.99,109.99,0.0,1.0,9.0,0.039999999999999994,1749,2577,-0.13351400000000002,0.906327,0.772813,-0.0001183438987183,-0.0025897049320714,2.895357568082293e-05,0.0005130730529423887,-0.00038734800262674976,-0.010663110091639196,0.01,0.00014086875855057066,0.0017233346610167786,0.024933538834031998,0.02707148788561141,2025-06-27
101.0,111.0,145.47999572753906,0.04,0.0606503496659343,0.02607501481466079,-0.011,-0.233,0.06,0.02,0.05,0.01,0.01,9.99,110.99,0.0,1.0,10.0,0.039999999999999994,1749,968,-0.13985000000000003,0.906327,0.766477,-0.0001183438987183,-0.0033091900259259,2.895357568082293e-05,0.0006441493118353735,-0.00038734800262674976,-0.013872177214646876,0.01,0.00014086875855057066,0.0022853256061690095,0.024933538834031998,0.027293688964471947,2025-06-27
102.0,110.0,145.47999572753906,0.04,0.05160424096136218,0.026045151712075332,0.163,0.152,0.06,0.03,0.05,0.01,0.01,7.99,109.99,0.0,1.0,8.0,0.03,1016,2577,-0.11113800000000007,0.883951,0.772813,-0.000175919949636,-0.0025897049320714,4.211182289504144e-05,0.0005130730529423887,-0.0005898493150561152,-0.010663110091639196,0.01,0.00014161572096819966,0.0017233346610167786,0.025178518057411274,0.02707148788561141,2025-06-27
102.0,111.0,145.47999572753906,0.04,0.060650347812452265,0.026045151600309846,-0.011,0.152,0.06,0.03,0.05,0.01,0.01,8.99,110.99,0.0,1.0,9.0,0.03,1016,968,-0.11747400000000008,0.883951,0.766477,-0.000175919949636,-0.0033091900259259,4.211182289504144e-05,0.0006441493118353735,-0.0005898493150561152,-0.013872177214646876,0.01,0.00014161572096819966,0.0022853256061690095,0.025178518057411274,0.027293688964471947,2025-06-27
102.0,112.0,145.47999572753906,0.04,0.06023053235748477,0.026045151487770424,0.162,0.152,0.07,0.03,0.06,0.02,0.02,9.98,111.98,0.0,1.0,10.0,0.04000000000000001,1016,746,-0.1406320000000001,0.883951,0.743319,-0.000175919949636,-0.0042998494432513,4.211182289504144e-05,0.0008177831221997845,-0.0005898493150561152,-0.018461726644351587,0.02,0.00014161572096819966,0.0029727224334925783,0.025178518057411274,0.02750644110065398,2025-06-27
103.0,110.0,145.47999572753906,0.04,0.05160423931417424,0.02602491132366147,0.163,-0.232,0.06,0.02,0.05,0.01,0.01,6.99,109.99,0.0,1.0,7.0,0.039999999999999994,823,2577,-0.08898600000000001,0.861799,0.772813,-0.0002559685985016,-0.0025897049320714,5.995411314366836e-05,0.0005130730529423887,-0.0008796733623450601,-0.010663110091639196,0.01,0.00024810497296083296,0.0017233346610167786,0.025422737170526687,0.02707148788561141,2025-06-27
103.0,111.0,145.47999572753906,0.04,0.06065034594021146,0.02602491121024464,-0.011,-0.232,0.06,0.02,0.05,0.01,0.01,7.99,110.99,0.0,1.0,8.0,0.039999999999999994,823,968,-0.09532200000000002,0.861799,0.766477,-0.0002559685985016,-0.0033091900259259,5.995411314366836e-05,0.0006441493118353735,-0.0008796733623450601,-0.013872177214646876,0.01,0.00024810497296083296,0.0022853256061690095,0.025422737170526687,0.027293688964471947,2025-06-27
103.0,112.0,145.47999572753906,0.04,0.060230530505741786,0.026024911097907277,0.162,-0.232,0.07,0.02,0.06,0.02,0.02,8.98,111.98,0.0,1.0,9.0,0.05,823,746,-0.11848000000000003,0.861799,0.743319,-0.0002559685985016,-0.0042998494432513,5.995411314366836e-05,0.0008177831221997845,-0.0008796733623450601,-0.018461726644351587,0.02,0.00024810497296083296,0.0029727224334925783,0.025422737170526687,0.02750644110065398,2025-06-27
103.0,113.0,145.47999572753906,0.04,0.05983278408080306,0.026024910985723126,0.17,-0.232,0.07,0.02,0.06,0.02,0.02,9.98,112.98,0.0,0.99,10.0,0.05,823,916,-0.141428,0.861799,0.720371,-0.0002559685985016,-0.0054795579259997,5.995411314366836e-05,0.0010205239638941587,-0.0008796733623450601,-0.02402473733753772,0.02,0.00024810497296083296,0.0029888777604844038,0.025422737170526687,0.027712594288690977,2025-06-27
104.0,110.0,145.47999572753906,0.04,0.051604237662261854,0.02601518324838059,0.163,0.153,0.06,0.03,0.05,0.01,0.01,5.99,109.99,0.0,1.0,6.0,0.03,464,2577,-0.06705400000000006,0.839867,0.772813,-0.0003721595013636,-0.0025897049320714,8.516144417395935e-05,0.0005130730529423887,-0.001311956240699065,-0.010663110091639196,0.01,0.0002715286242739911,0.0017233346610167786,0.0256657306477886,0.02707148788561141,2025-06-27
104.0,111.0,145.47999572753906,0.04,0.060650344064992145,0.02601518313453044,-0.011,0.153,0.06,0.03,0.05,0.01,0.01,6.99,110.99,0.0,1.0,7.0,0.03,464,968,-0.07339000000000007,0.839867,0.766477,-0.0003721595013636,-0.0033091900259259,8.516144417395935e-05,0.0006441493118353735,-0.001311956240699065,-0.013872177214646876,0.01,0.0002715286242739911,0.0022853256061690095,0.0256657306477886,0.027293688964471947,2025-06-27
104.0,112.0,145.47999572753906,0.04,0.06023052865399703,0.026015183023903488,0.162,0.153,0.07,0.03,0.06,0.02,0.02,7.98,111.98,0.0,1.0,8.0,0.04000000000000001,464,746,-0.09654800000000008,0.839867,0.743319,-0.0003721595013636,-0.0042998494432513,8.516144417395935e-05,0.0008177831221997845,-0.001311956240699065,-0.018461726644351587,0.02,0.0002715286242739911,0.0029727224334925783,0.0256657306477886,0.02750644110065398,2025-06-27
104.0,113.0,145.47999572753906,0.04,0.05983278225038413,0.026015182912508483,0.17,0.153,0.07,0.03,0.06,0.02,0.02,8.98,112.98,0.0,0.99,9.0,0.04000000000000001,464,916,-0.11949600000000005,0.839867,0.720371,-0.0003721595013636,-0.0054795579259997,8.516144417395935e-05,0.0010205239638941587,-0.001311956240699065,-0.02402473733753772,0.02,0.0002715286242739911,0.0029888777604844038,0.0256657306477886,0.027712594288690977,2025-06-27
104.0,114.0,145.47999572753906,0.04,0.06805762451888953,0.02601518280310866,0.175,0.153,0.08,0.03,0.07,0.03,0.03,9.97,113.97,0.0,0.99,10.0,0.05,464,523,-0.12937200000000004,0.839867,0.710495,-0.0003721595013636,-0.0066061476868032,8.516144417395935e-05,0.001218212976949852,-0.001311956240699065,-0.029215926278185096,0.03,0.0002715286242739911,0.003879134495882464,0.0256657306477886,0.027920670366764534,2025-06-27
105.0,112.0,145.47999572753906,0.05,0.06023052677575902,0.03478166208662614,0.162,0.15,0.07,0.04,0.06,0.01,0.01,6.99,111.99,0.0,1.0,7.0,0.030000000000000006,1582,746,-0.1021200000000001,0.845439,0.743319,-0.0005267306777447,-0.0042998494432513,0.00011788016610787203,0.0008177831221997845,-0.0019028971297520606,-0.018461726644351587,0.02,0.00037889311768547144,0.0029727224334925783,0.025907416697879028,0.02750644110065398,2025-06-27
105.0,113.0,145.47999572753906,0.05,0.05983278035155548,0.034781661917623774,0.17,0.15,0.07,0.04,0.06,0.01,0.01,7.99,112.99,0.0,0.99,8.0,0.030000000000000006,1582,916,-0.12506800000000007,0.845439,0.720371,-0.0005267306777447,-0.0054795579259997,0.00011788016610787203,0.0010205239638941587,-0.0019028971297520606,-0.02402473733753772,0.02,0.00037889311768547144,0.0029888777604844038,0.025907416697879028,0.027712594288690977,2025-06-27
105.0,114.0,145.47999572753906,0.05,0.06805762240471536,0.03478166176670894,0.175,0.15,0.08,0.04,0.07,0.02,0.02,8.98,113.98,0.0,0.99,9.0,0.04,1582,523,-0.13494400000000006,0.845439,0.710495,-0.0005267306777447,-0.0066061476868032,0.00011788016610787203,0.001218212976949852,-0.0019028971297520606,-0.029215926278185096,0.03,0.00037889311768547144,0.003879134495882464,0.025907416697879028,0.027920670366764534,2025-06-27
105.0,115.0,145.47999572753906,0.05,0.0678816453574036,0.0347816616194877,0.179,0.15,0.08,0.04,0.07,0.02,0.02,9.98,114.98,0.0,0.99,10.0,0.04,1582,2992,-0.15752700000000008,0.845439,0.687912,-0.0005267306777447,-0.0083867866820101,0.00011788016610787203,0.0015095419634911838,-0.0019028971297520606,-0.03266787938788156,0.03,0.00037889311768547144,0.004949075287091137,0.025907416697879028,0.028105764433844077,2025-06-27
